delegation,gouvernorat,chambres,salle_de_bains,nb_pieces,superficie,etage,prix
Hammam Lif,ben-arous,2,2,4.0,83.0,1,220000.0
El Mourouj,ben-arous,3,1,4.0,117.5,3,185000.0
ben-arous,ben-arous,3,1,4.0,107.0,6,275000.0
El Mourouj,ben-arous,3,1,3.0,80.0,3,156000.0
El Mourouj,ben-arous,2,1,3.0,78.0,2,140000.0
Ezzahra,ben-arous,3,1,6.0,90.0,4,150000.0
Ezzahra,ben-arous,3,1,4.0,120.0,4,245000.0
El Mourouj,ben-arous,4,1,4.0,96.8,1,150000.0
El Mourouj,ben-arous,3,1,6.0,110.0,1,150000.0
Rades,ben-arous,2,1,3.0,85.0,1,230000.0
El Mourouj,ben-arous,2,1,2.0,129.5,3,225000.0
El Mourouj,ben-arous,3,1,4.0,96.0,1,145000.0
Borj Cedria,ben-arous,3,1,4.0,100.0,1,140000.0
El Mourouj,ben-arous,2,1,3.0,103.0,1,185000.0
El Mourouj,ben-arous,4,1,4.0,100.0,1,115000.0
El Mourouj,ben-arous,2,1,3.0,75.0,1,105000.0
ben-arous,ben-arous,3,2,4.0,107.0,3,145000.0
El Mourouj,ben-arous,2,1,4.0,85.0,4,110000.0
Ezzahra,ben-arous,2,1,3.0,78.0,1,119000.0
Ezzahra,ben-arous,3,1,3.0,96.0,4,100000.0
ben-arous,ben-arous,2,1,3.0,90.0,4,100000.0
Hammam Lif,ben-arous,2,1,2.0,83.0,1,137000.0
Ezzahra,ben-arous,3,1,3.0,80.0,3,120000.0
Ezzahra,ben-arous,2,1,3.0,73.6,1,119000.0
Fouchana,ben-arous,2,1,3.0,100.0,1,125000.0
El Mourouj,ben-arous,2,1,3.0,96.0,1,175000.0
El Mourouj,ben-arous,2,1,3.0,74.0,1,115000.0
ben-arous,ben-arous,2,1,3.0,79.0,2,170000.0
El Mourouj,ben-arous,2,1,3.0,108.0,3,195000.0
Borj Cedria,ben-arous,2,1,2.0,116.0,4,170000.0
El Mourouj,ben-arous,3,1,4.0,70.0,1,110000.0
ben-arous,ben-arous,2,1,3.0,89.0,1,200000.0
El Mourouj,ben-arous,2,1,3.0,80.0,1,150000.0
Hammam Lif,ben-arous,5,1,7.0,200.0,1,520000.0
El Mourouj,ben-arous,4,2,6.0,89.2,1,150000.0
Ezzahra,ben-arous,3,1,3.0,93.2,1,180000.0
El Mourouj,ben-arous,2,1,3.0,62.0,1,130000.0
El Mourouj,ben-arous,2,1,5.0,67.0,2,120000.0
Hammam Lif,ben-arous,2,1,3.0,66.82,6,167000.0
El Mourouj,ben-arous,4,2,7.0,147.0,1,250000.0
Hammam Lif,ben-arous,3,1,3.0,90.4,2,140000.0
El Mourouj,ben-arous,4,1,4.0,80.0,3,148000.0
Borj Cedria,ben-arous,2,1,3.0,82.0,1,100000.0
Rades,ben-arous,2,1,3.0,92.0,3,127000.0
ben-arous,ben-arous,3,2,5.0,143.0,1,245000.0
ben-arous,ben-arous,3,2,7.0,115.0,3,197000.0
ben-arous,ben-arous,2,1,6.0,90.0,2,173000.0
Megrine,ben-arous,2,1,6.0,80.0,1,195000.0
ben-arous,ben-arous,2,1,6.0,95.0,2,200000.0
ben-arous,ben-arous,3,2,7.0,115.0,3,197000.0
Borj Cedria,ben-arous,1,1,3.0,120.0,3,220000.0
El Mourouj,ben-arous,3,2,6.0,120.0,4,120000.0
El Mourouj,ben-arous,2,1,3.0,96.0,1,155000.0
ben-arous,ben-arous,3,1,6.0,95.0,1,215000.0
Mornag,ben-arous,2,1,3.0,80.0,5,190080.0
ben-arous,ben-arous,2,1,6.0,97.0,2,200000.0
Boumhel,ben-arous,3,1,4.0,122.0,3,235000.0
Fouchana,ben-arous,3,1,3.0,81.0,1,140000.0
Borj Cedria,ben-arous,3,2,4.0,137.19,4,233223.0
Fouchana,ben-arous,3,1,4.0,90.0,2,188000.0
Ezzahra,ben-arous,2,1,3.0,59.0,2,129000.0
Boumhel,ben-arous,3,1,4.0,138.0,4,235000.0
Ezzahra,ben-arous,3,2,4.0,147.0,1,277000.0
El Mourouj,ben-arous,2,1,3.0,110.0,1,130000.0
El Mourouj,ben-arous,2,1,3.0,94.0,2,135000.0
El Mourouj,ben-arous,2,1,3.0,74.95,1,130000.0
Ezzahra,ben-arous,3,1,4.0,85.0,3,145000.0
Fouchana,ben-arous,4,2,5.0,120.0,1,168000.0
Ezzahra,ben-arous,2,1,3.0,88.0,3,150000.0
Borj Cedria,ben-arous,2,1,3.0,107.0,5,160000.0
El Mourouj,ben-arous,3,2,4.0,110.0,1,186000.0
Ezzahra,ben-arous,3,1,4.0,126.0,5,300000.0
Ezzahra,ben-arous,2,1,3.0,105.0,1,248000.0
Megrine,ben-arous,2,1,3.0,107.0,1,175000.0
El Mourouj,ben-arous,3,1,4.0,110.0,4,120000.0
El Mourouj,ben-arous,3,1,5.0,101.0,3,180000.0
El Mourouj,ben-arous,2,1,5.0,101.14,1,110000.0
Borj Cedria,ben-arous,2,1,3.0,80.0,1,150000.0
Borj Cedria,ben-arous,3,2,4.0,180.0,1,250000.0
El Mourouj,ben-arous,3,1,4.0,130.0,1,175000.0
El Mourouj,ben-arous,2,1,3.0,97.0,5,180000.0
ben-arous,ben-arous,3,1,4.0,145.0,3,280000.0
El Mourouj,ben-arous,2,1,3.0,108.46399999999998,1,300000.0
ben-arous,ben-arous,6,3,6.0,130.0,2,200000.0
ben-arous,ben-arous,2,1,3.0,105.0,1,190000.0
ben-arous,ben-arous,3,1,5.0,111.0,2,200000.0
Borj Cedria,ben-arous,2,1,3.0,85.0,1,200000.0
Ezzahra,ben-arous,3,2,4.0,104.0,4,249000.0
ben-arous,ben-arous,3,2,4.0,140.0,4,230000.0
ben-arous,ben-arous,3,2,6.0,211.35,1,560000.0
Rades,ben-arous,3,2,4.0,112.2,1,195000.0
Boumhel,ben-arous,2,2,3.0,90.0,4,163000.0
Borj Cedria,ben-arous,2,1,3.0,76.0,2,100000.0
Borj Cedria,ben-arous,2,2,3.0,99.0,1,157000.0
El Mourouj,ben-arous,3,1,4.0,105.0,4,150000.0
El Mourouj,ben-arous,4,1,4.0,106.0,1,145000.0
El Mourouj,ben-arous,2,1,3.0,80.0,2,120000.0
ben-arous,ben-arous,2,2,3.0,74.0,2,100000.0
El Mourouj,ben-arous,2,1,3.0,78.0,4,130000.0
El Mourouj,ben-arous,3,1,4.0,136.0,3,200000.0
Borj Cedria,ben-arous,2,1,3.0,55.0,1,100000.0
El Mourouj,ben-arous,3,1,4.0,106.0,1,145000.0
El Mourouj,ben-arous,2,1,3.0,90.0,4,110000.0
Rades,ben-arous,2,1,3.0,80.0,1,135000.0
Ezzahra,ben-arous,4,2,5.0,131.0,3,210000.0
El Mourouj,ben-arous,2,1,3.0,100.0,5,170000.0
Rades,ben-arous,3,1,4.0,140.0,1,230000.0
Ezzahra,ben-arous,2,1,3.0,95.0,1,280000.0
Rades,ben-arous,3,1,4.0,140.0,1,230000.0
El Mourouj,ben-arous,2,1,3.0,97.0,1,210000.0
El Mourouj,ben-arous,2,1,3.0,65.0,1,149000.0
Megrine,ben-arous,3,2,4.0,141.0,1,250000.0
El Mourouj,ben-arous,3,1,4.0,90.0,4,160000.0
El Mourouj,ben-arous,3,1,4.0,86.0,1,180000.0
El Mourouj,ben-arous,3,1,4.0,86.0,1,150000.0
Rades,ben-arous,3,1,4.0,83.0,3,170000.0
Ezzahra,ben-arous,2,1,3.0,75.0,1,210000.0
Megrine,ben-arous,2,1,3.0,120.0,1,320000.0
El Mourouj,ben-arous,3,1,4.0,101.0,3,180000.0
Hammam Lif,ben-arous,2,1,3.0,102.0,1,175000.0
El Mourouj,ben-arous,3,2,4.0,109.0,1,220000.0
El Mourouj,ben-arous,2,1,3.0,135.0,1,140000.0
El Mourouj,ben-arous,2,1,3.0,72.0,1,120000.0
El Mourouj,ben-arous,1,1,2.0,90.0,1,100000.0
ben-arous,ben-arous,2,1,3.0,90.0,4,130000.0
El Mourouj,ben-arous,2,1,3.0,101.0,3,205000.0
El Mourouj,ben-arous,2,1,3.0,110.0,1,165000.0
Borj Cedria,ben-arous,3,1,4.0,110.0,4,155000.0
Rades,ben-arous,2,1,3.0,80.0,3,100000.0
Megrine,ben-arous,3,1,4.0,110.0,4,190000.0
Boumhel,ben-arous,2,1,3.0,140.0,1,140000.0
El Mourouj,ben-arous,3,2,4.0,130.0,2,100000.0
Rades,ben-arous,2,1,3.0,83.6,4,145000.0
ben-arous,ben-arous,2,2,3.0,107.0,2,180000.0
ben-arous,ben-arous,3,3,8.0,148.0,1,341000.0
ben-arous,ben-arous,2,2,6.0,124.0,4,286000.0
El Mourouj,ben-arous,2,1,2.0,70.0,1,130000.0
El Mourouj,ben-arous,5,3,2.0,97.6,2,390000.0
ben-arous,ben-arous,3,1,5.0,127.0,4,245000.0
Ezzahra,ben-arous,2,1,2.0,70.32000000000001,1,100000.0
Rades,ben-arous,3,1,4.0,90.0,3,180000.0
Rades,ben-arous,2,1,3.0,68.0,4,130000.0
Hammam Lif,ben-arous,2,1,3.0,88.0,1,168000.0
El Mourouj,ben-arous,2,1,3.0,90.0,1,148000.0
Hammam Lif,ben-arous,3,1,3.0,99.4,1,250000.0
Ezzahra,ben-arous,2,1,4.0,94.0,1,140000.0
Boumhel,ben-arous,2,1,3.0,75.0,1,125000.0
ben-arous,ben-arous,2,1,3.0,83.0,1,120000.0
Ezzahra,ben-arous,2,1,3.0,75.0,1,180000.0
El Mourouj,ben-arous,2,1,3.0,90.0,4,148000.0
Borj Cedria,ben-arous,2,1,5.0,111.0,5,170000.0
Rades,ben-arous,3,1,4.0,150.0,1,320000.0
El Mourouj,ben-arous,4,1,5.0,101.0,3,173000.0
El Mourouj,ben-arous,2,1,3.0,86.0,3,125000.0
Boumhel,ben-arous,3,1,4.0,120.0,1,260000.0
Boumhel,ben-arous,2,1,3.0,94.0,1,190000.0
Borj Cedria,ben-arous,1,1,2.0,98.0,1,185000.0
Ezzahra,ben-arous,2,1,3.0,65.0,3,150000.0
El Mourouj,ben-arous,3,1,5.0,72.0,3,215000.0
Boumhel,ben-arous,2,1,3.0,80.0,1,145000.0
Ezzahra,ben-arous,2,1,3.0,105.0,2,189000.0
Boumhel,ben-arous,3,1,3.0,108.0,1,235000.0
Ezzahra,ben-arous,1,1,3.0,50.0,3,175000.0
ben-arous,ben-arous,3,2,4.0,136.0,1,265000.0
Ezzahra,ben-arous,3,1,4.0,144.0,1,310000.0
Hammam Lif,ben-arous,2,1,3.0,82.0,1,160000.0
ben-arous,ben-arous,2,1,3.0,107.0,3,170000.0
El Mourouj,ben-arous,2,1,3.0,75.0,1,150000.0
El Mourouj,ben-arous,3,1,4.0,90.0,4,180000.0
ben-arous,ben-arous,2,1,2.0,124.0,2,217000.0
Hammam Lif,ben-arous,2,1,3.0,75.0,2,140000.0
El Mourouj,ben-arous,2,1,3.0,74.0,4,100000.0
El Mourouj,ben-arous,2,1,3.0,90.0,4,148000.0
ben-arous,ben-arous,2,1,3.0,88.0,1,120000.0
ben-arous,ben-arous,2,2,3.0,122.0,4,210000.0
ben-arous,ben-arous,2,1,2.0,108.0,2,240000.0
El Mourouj,ben-arous,3,1,4.0,110.0,2,175000.0
El Mourouj,ben-arous,3,1,4.0,110.0,4,120000.0
El Mourouj,ben-arous,2,1,3.0,107.0,3,200000.0
Mornag,ben-arous,3,2,4.0,135.0,1,200000.0
Ezzahra,ben-arous,3,1,4.0,94.0,3,160000.0
El Mourouj,ben-arous,3,1,3.0,80.0,1,155000.0
Rades,ben-arous,3,1,4.0,86.0,3,165000.0
Borj Cedria,ben-arous,3,1,3.0,137.0,1,245000.0
Rades,ben-arous,2,1,3.0,80.0,1,150000.0
Rades,ben-arous,3,2,4.0,164.0,1,300000.0
El Mourouj,ben-arous,2,1,3.0,85.0,2,135000.0
ben-arous,ben-arous,1,1,2.0,80.0,1,100000.0
ben-arous,ben-arous,3,1,4.0,145.0,1,280000.0
ben-arous,ben-arous,2,1,2.0,107.0,1,185000.0
El Mourouj,ben-arous,3,1,3.0,89.0,3,145000.0
El Mourouj,ben-arous,3,1,3.0,66.0,4,122000.0
El Mourouj,ben-arous,3,1,4.0,110.0,1,198000.0
Boumhel,ben-arous,2,1,3.0,72.0,3,140000.0
El Mourouj,ben-arous,4,1,3.0,84.0,3,120000.0
Fouchana,ben-arous,3,1,4.0,103.0,1,175000.0
ben-arous,ben-arous,3,1,4.0,129.0,1,265000.0
ben-arous,ben-arous,3,1,4.0,110.0,1,220000.0
Rades,ben-arous,3,1,4.0,133.0,5,225000.0
ben-arous,ben-arous,1,1,1.0,56.0,2,165000.0
Borj Cedria,ben-arous,1,1,1.0,53.0,4,100000.0
El Mourouj,ben-arous,3,1,3.0,115.0,1,165000.0
ben-arous,ben-arous,3,1,4.0,78.0,1,100000.0
ben-arous,ben-arous,3,1,3.0,80.0,1,100000.0
Hammam Lif,ben-arous,3,1,5.0,92.0,2,220000.0
El Mourouj,ben-arous,3,1,4.0,90.0,3,165000.0
Ezzahra,ben-arous,4,2,6.0,149.0,3,280000.0
ben-arous,ben-arous,3,2,3.0,103.0,1,200000.0
Rades,ben-arous,2,1,3.0,100.0,3,230000.0
Borj Cedria,ben-arous,3,1,4.0,137.0,1,235000.0
Rades,ben-arous,1,1,2.0,70.0,1,130000.0
Ezzahra,ben-arous,3,2,3.0,117.0,2,290000.0
ben-arous,ben-arous,2,1,3.0,90.0,1,135000.0
ben-arous,ben-arous,3,2,4.0,129.0,1,265000.0
Ezzahra,ben-arous,1,1,3.0,90.0,3,187000.0
El Mourouj,ben-arous,3,1,4.0,140.0,1,250000.0
Fouchana,ben-arous,3,1,4.0,93.0,4,135000.0
Rades,ben-arous,2,1,3.0,70.0,2,130000.0
ben-arous,ben-arous,3,1,4.0,103.0,1,200000.0
El Mourouj,ben-arous,3,1,4.0,100.0,4,157000.0
ben-arous,ben-arous,3,2,6.0,140.0,1,195000.0
Borj Cedria,ben-arous,3,1,4.0,145.0,2,100000.0
Rades,ben-arous,3,1,3.0,80.0,1,145000.0
El Mourouj,ben-arous,2,1,3.0,90.0,2,162000.0
Boumhel,ben-arous,1,1,2.0,60.0,3,125000.0
Mornag,ben-arous,3,1,4.0,205.0,1,290000.0
El Mourouj,ben-arous,3,1,4.0,140.0,4,290000.0
Rades,ben-arous,2,1,3.0,67.0,1,140000.0
Borj Cedria,ben-arous,2,1,3.0,100.0,1,185000.0
Rades,ben-arous,2,1,2.0,95.0,1,155000.0
El Mourouj,ben-arous,2,1,3.0,91.0,2,135000.0
Hammam Lif,ben-arous,3,1,4.0,124.0,4,180000.0
ben-arous,ben-arous,3,1,3.0,95.0,1,130000.0
ben-arous,ben-arous,3,1,4.0,98.0,3,100000.0
Rades,ben-arous,2,1,3.0,70.0,1,100000.0
Mornag,ben-arous,2,1,3.0,80.0,1,105000.0
Boumhel,ben-arous,2,1,3.0,82.0,2,130000.0
Borj Cedria,ben-arous,1,1,1.0,73.0,1,235000.0
ben-arous,ben-arous,3,1,4.0,97.0,1,220000.0
Borj Cedria,ben-arous,2,1,3.0,107.0,5,170000.0
Rades,ben-arous,2,1,3.0,75.0,3,100000.0
Rades,ben-arous,3,1,4.0,83.0,1,210000.0
El Mourouj,ben-arous,3,1,4.0,100.0,1,140000.0
Boumhel,ben-arous,5,2,4.0,81.0,1,190000.0
El Mourouj,ben-arous,3,2,6.0,92.0,4,235000.0
Ezzahra,ben-arous,5,2,8.0,144.0,1,220000.0
ben-arous,ben-arous,3,1,3.0,145.0,3,280000.0
ben-arous,ben-arous,2,1,3.0,115.0,1,100000.0
ben-arous,ben-arous,2,2,3.0,122.0,1,230000.0
ben-arous,ben-arous,2,2,3.0,122.0,1,230000.0
ben-arous,ben-arous,3,2,4.0,123.0,1,290000.0
Rades,ben-arous,3,1,3.0,110.0,1,200000.0
ben-arous,ben-arous,3,1,3.0,156.0,2,275000.0
ben-arous,ben-arous,2,1,3.0,79.0,3,135000.0
ben-arous,ben-arous,2,1,2.0,79.0,3,135000.0
Megrine,ben-arous,2,1,3.0,90.0,1,100000.0
ben-arous,ben-arous,3,1,4.0,109.0,1,135000.0
El Mourouj,ben-arous,2,1,2.0,118.0,1,260000.0
ben-arous,ben-arous,3,1,4.0,137.5,7,285000.0
Rades,ben-arous,2,1,3.0,110.0,1,180000.0
ben-arous,ben-arous,2,1,4.0,117.0,1,180000.0
El Mourouj,ben-arous,2,1,2.0,49.0,1,147000.0
Hammam Lif,ben-arous,3,1,6.0,108.0,1,200000.0
Borj Cedria,ben-arous,2,1,3.0,108.0,3,180000.0
ben-arous,ben-arous,2,1,3.0,94.0,1,125000.0
Ezzahra,ben-arous,1,1,2.0,75.0,1,135000.0
Ezzahra,ben-arous,2,1,3.0,90.0,1,125000.0
Ezzahra,ben-arous,2,1,3.0,95.0,1,125000.0
ben-arous,ben-arous,3,1,3.0,73.0,3,100000.0
El Mourouj,ben-arous,3,1,3.0,106.0,2,182000.0
ben-arous,ben-arous,2,1,3.0,80.0,1,100000.0
ben-arous,ben-arous,2,1,2.0,65.0,2,100000.0
Rades,ben-arous,2,1,3.0,72.0,1,180000.0
ben-arous,ben-arous,8,2,9.0,300.0,3,650000.0
El Mourouj,ben-arous,2,1,3.0,75.0,1,130000.0
Rades,ben-arous,3,1,4.0,106.0,3,170000.0
Rades,ben-arous,4,2,4.0,200.0,2,170000.0
Borj Cedria,ben-arous,3,2,4.0,96.0,4,230000.0
ben-arous,ben-arous,2,1,2.0,65.0,2,100000.0
El Mourouj,ben-arous,3,1,4.0,85.0,1,150000.0
Rades,ben-arous,2,1,3.0,65.0,1,125000.0
Rades,ben-arous,2,1,3.0,75.0,1,110000.0
El Mourouj,ben-arous,3,1,4.0,130.0,1,250000.0
Mornag,ben-arous,3,1,6.0,75.0,1,140000.0
Rades,ben-arous,2,1,3.0,80.0,4,115000.0
Ezzahra,ben-arous,3,1,4.0,100.0,4,170000.0
Rades,ben-arous,2,1,3.0,104.0,1,150000.0
Ezzahra,ben-arous,3,1,4.0,90.0,3,145000.0
Rades,ben-arous,3,1,4.0,84.0,3,140000.0
El Mourouj,ben-arous,4,1,4.0,104.0,4,120000.0
Fouchana,ben-arous,4,2,4.0,269.0,1,170000.0
Rades,ben-arous,3,2,4.0,140.0,1,235000.0
El Mourouj,ben-arous,3,1,4.0,140.0,4,170000.0
ben-arous,ben-arous,2,1,3.0,90.0,3,100000.0
El Mourouj,ben-arous,3,1,3.0,75.0,2,135000.0
Ezzahra,ben-arous,3,1,4.0,132.0,1,320000.0
Rades,ben-arous,2,1,3.0,90.0,1,150000.0
ben-arous,ben-arous,2,1,4.0,117.0,1,180000.0
ben-arous,ben-arous,2,1,3.0,90.0,3,100000.0
Borj Cedria,ben-arous,3,1,3.0,76.0,2,100000.0
Rades,ben-arous,3,2,4.0,132.0,2,205000.0
El Mourouj,ben-arous,3,1,4.0,80.0,1,105000.0
Ezzahra,ben-arous,2,1,3.0,95.0,1,125000.0
El Mourouj,ben-arous,2,1,3.0,117.0,6,184000.0
Rades,ben-arous,3,1,4.0,123.2,1,170000.0
Boumhel,ben-arous,3,1,4.0,128.0,3,160000.0
Fouchana,ben-arous,4,1,4.0,120.0,2,150000.0
Rades,ben-arous,3,1,4.0,89.84,1,130000.0
El Mourouj,ben-arous,3,1,4.0,116.0,1,165000.0
El Mourouj,ben-arous,2,1,3.0,70.0,4,100000.0
Mornag,ben-arous,3,1,4.0,105.0,4,130000.0
Rades,ben-arous,2,1,3.0,105.0,1,125000.0
Ezzahra,ben-arous,1,1,1.0,64.54796672,1,135000.0
Rades,ben-arous,8,4,8.0,300.0,3,680000.0
ben-arous,ben-arous,2,1,2.0,83.12,1,100000.0
Ezzahra,ben-arous,2,1,2.0,84.144,1,100000.0
El Mourouj,ben-arous,2,1,3.0,87.0,1,100000.0
Rades,ben-arous,2,1,2.0,60.0,1,135000.0
Fouchana,ben-arous,3,1,4.0,150.0,1,100000.0
Ezzahra,ben-arous,4,1,5.0,204.0,1,390000.0
El Mourouj,ben-arous,3,2,4.0,140.0,3,187000.0
Boumhel,ben-arous,3,1,3.0,80.0,1,100000.0
Hammam Lif,ben-arous,2,1,3.0,90.0,1,100000.0
ben-arous,ben-arous,3,1,4.0,170.0,1,160000.0
Megrine,ben-arous,3,1,4.0,129.8,1,260000.0
Megrine,ben-arous,3,1,4.0,214.0,1,270000.0
Rades,ben-arous,2,1,3.0,95.0,1,110000.0
El Mourouj,ben-arous,2,1,3.0,66.0,2,166000.0
El Mourouj,ben-arous,3,1,4.0,100.0,3,125000.0
Hammam Lif,ben-arous,3,1,4.0,90.0,2,190000.0
El Mourouj,ben-arous,2,1,3.0,75.0,1,120000.0
Megrine,ben-arous,3,1,4.0,115.0,1,190000.0
ben-arous,ben-arous,2,2,3.0,95.0,1,100000.0
El Mourouj,ben-arous,4,1,4.0,100.4,3,137000.0
El Mourouj,ben-arous,4,1,4.0,110.0,4,160000.0
ben-arous,ben-arous,2,2,3.0,95.0,1,100000.0
Borj Cedria,ben-arous,2,1,2.0,150.0,1,270000.0
Borj Cedria,ben-arous,2,1,3.0,135.0,4,190000.0
ben-arous,ben-arous,3,2,4.0,134.0,6,230000.0
ben-arous,ben-arous,2,1,3.0,70.0,1,100000.0
ben-arous,ben-arous,3,1,4.0,151.0,1,260000.0
ben-arous,ben-arous,3,1,4.0,75.0,1,100000.0
Rades,ben-arous,2,1,3.0,85.0,3,100000.0
El Mourouj,ben-arous,2,1,3.0,85.0,3,100000.0
El Mourouj,ben-arous,3,1,3.0,85.0,4,120000.0
El Mourouj,ben-arous,3,1,4.0,92.0,1,225000.0
Ezzahra,ben-arous,3,1,4.0,65.0,1,110000.0
Fouchana,ben-arous,2,1,2.0,60.0,1,100000.0
ben-arous,ben-arous,3,1,3.0,75.0,1,100000.0
Hammam Lif,ben-arous,4,2,4.0,104.0,2,175000.0
ben-arous,ben-arous,2,1,2.0,68.0,1,117000.0
ben-arous,ben-arous,4,2,6.0,145.0,3,250000.0
El Mourouj,ben-arous,2,1,3.0,78.0,1,110000.0
Borj Cedria,ben-arous,3,2,4.0,122.0,2,168327.0
El Mourouj,ben-arous,2,1,2.0,59.8,1,100000.0
El Mourouj,ben-arous,3,1,3.0,138.0,3,187347.0
Borj Cedria,ben-arous,3,1,3.0,74.0,1,120000.0
El Mourouj,ben-arous,3,1,5.0,85.0,2,155000.0
Ezzahra,ben-arous,3,1,4.0,120.0,1,270000.0
El Mourouj,ben-arous,2,1,5.0,110.0,2,150000.0
Boumhel,ben-arous,2,1,3.0,80.0,1,100000.0
ben-arous,ben-arous,3,2,5.0,137.0,1,100000.0
ben-arous,ben-arous,2,1,3.0,95.0,1,100000.0
Mornag,ben-arous,3,2,4.0,160.0,4,245000.0
El Mourouj,ben-arous,3,1,4.0,130.0,1,165000.0
El Mourouj,ben-arous,2,2,3.0,80.0,1,110000.0
Ezzahra,ben-arous,2,1,3.0,86.0,1,203000.0
Hammam Lif,ben-arous,1,1,2.0,65.0,1,115000.0
El Mourouj,ben-arous,3,1,4.0,118.0,3,165000.0
Hammam Lif,ben-arous,2,1,3.0,111.0,2,162500.0
Ezzahra,ben-arous,3,1,3.0,89.0,3,145000.0
ben-arous,ben-arous,2,1,6.0,90.0,1,100000.0
Mornag,ben-arous,1,1,1.0,83.0,1,133000.0
Boumhel,ben-arous,2,2,3.0,107.0,1,100000.0
Hammam Lif,ben-arous,2,1,3.0,85.0,3,105000.0
ben-arous,ben-arous,3,1,3.0,75.0,1,130000.0
Ezzahra,ben-arous,3,2,5.0,135.0,1,256500.0
Mornag,ben-arous,3,2,4.0,120.0,1,195600.0
Rades,ben-arous,3,2,6.0,150.0,3,240000.0
El Mourouj,ben-arous,3,1,7.0,90.0,1,215000.0
Mornag,ben-arous,3,1,4.0,120.0,3,197000.0
El Mourouj,ben-arous,2,1,4.0,80.0,1,148000.0
ben-arous,ben-arous,2,1,3.0,87.0,1,115000.0
Hammam Lif,ben-arous,2,1,3.0,130.0,1,170000.0
El Mourouj,ben-arous,2,1,3.0,70.0,3,119980.0
Ezzahra,ben-arous,3,1,5.0,127.0,4,287000.0
ben-arous,ben-arous,2,1,3.0,80.0,1,100000.0
El Mourouj,ben-arous,2,1,2.0,112.0,1,236000.0
ben-arous,ben-arous,3,2,4.0,105.0,1,227000.0
Fouchana,ben-arous,3,1,4.0,96.0,1,130000.0
ben-arous,ben-arous,3,1,4.0,95.0,1,150000.0
ben-arous,ben-arous,2,1,3.0,70.0,2,100000.0
ben-arous,ben-arous,3,1,3.0,122.0,1,195000.0
Hammam Lif,ben-arous,2,1,2.0,84.0,6,170000.0
El Mourouj,ben-arous,3,1,3.0,112.0,2,171000.0
Rades,ben-arous,3,2,4.0,140.0,6,265000.0
El Mourouj,ben-arous,3,1,3.0,104.0,2,167000.0
ben-arous,ben-arous,2,1,2.0,97.0,1,140000.0
Ezzahra,ben-arous,2,1,3.0,105.0,5,231000.0
ben-arous,ben-arous,3,1,4.0,95.0,1,160000.0
ben-arous,ben-arous,2,1,3.0,85.0,1,110000.0
Rades,ben-arous,3,1,5.0,90.0,1,140000.0
Rades,ben-arous,2,1,3.0,85.0,2,125000.0
Mornag,ben-arous,2,1,2.0,200.0,1,200000.0
El Mourouj,ben-arous,3,1,4.0,100.0,4,150000.0
El Mourouj,ben-arous,3,1,4.0,100.0,1,160000.0
El Mourouj,ben-arous,3,1,4.0,81.7,3,100000.0
ben-arous,ben-arous,3,1,5.0,100.0,1,155000.0
Hammam Lif,ben-arous,2,1,2.0,80.0,1,100000.0
El Mourouj,ben-arous,3,1,6.0,100.0,1,170000.0
Rades,ben-arous,2,1,3.0,70.0,2,128000.0
Borj Cedria,ben-arous,2,1,3.0,75.0,3,115000.0
Rades,ben-arous,3,1,4.0,100.0,1,158000.0
Rades,ben-arous,3,1,4.0,84.0,1,140000.0
ben-arous,ben-arous,3,2,4.0,100.0,2,200000.0
ben-arous,ben-arous,2,1,3.0,70.0,1,130000.0
Ezzahra,ben-arous,3,1,4.0,140.0,5,265000.0
El Mourouj,ben-arous,3,1,4.0,90.0,4,100000.0
Fouchana,ben-arous,3,1,3.0,75.0,3,100000.0
Rades,ben-arous,4,2,4.0,150.0,3,250000.0
