surface_area_m2,rooms,bedrooms,bathrooms,floor_level,has_elevator,year_built,has_parking,has_terrace,has_garden,has_pool,price_tnd,city_encoded,neighborhood_encoded,building_type_encoded,price_per_m2,rooms_per_surface
144.83570765056163,3,2,1,2,0,1983,1,1,0,0,887000,11,3,3,6124.180386096664,0.020713124191984206
147.12800217929822,2,1,1,2,0,2008,1,0,1,0,536000,11,4,2,3643.086238245804,0.01359360536658882
69.35844398327882,3,1,1,5,1,2021,1,0,1,0,176000,5,5,0,2537.542509495033,0.04325356550275624
149.8860233456304,7,6,3,0,0,1980,1,0,0,0,729000,3,4,4,4863.695651721701,0.04670215303436476
89.96806550405975,3,1,1,4,1,2003,0,1,0,0,354000,10,1,1,3934.729484474977,0.033345165122669294
138.7782316920347,1,1,1,1,0,2013,1,0,1,0,466000,5,7,2,3357.875326111008,0.007205741043156669
96.92671409129083,3,1,1,3,1,2021,1,1,0,1,1173000,6,6,5,12101.926811376325,0.030951219466435614
128.56841405949854,3,1,1,1,0,2012,0,0,1,0,143000,9,4,6,1112.248300222657,0.023333880424251545
124.82082395151292,4,2,1,0,0,2004,1,1,1,0,298000,6,0,6,2387.422150936603,0.032045934911900706
106.23495448768035,1,1,1,1,0,1964,1,0,1,0,275000,13,1,4,2588.6018526217813,0.009413097645897386
78.03912383886808,3,2,1,0,0,1993,0,1,1,0,182000,0,4,1,2332.1635488346333,0.038442256299471976
99.48083456568496,5,3,2,2,0,2024,0,1,0,0,339000,0,5,5,3407.691556670304,0.05026093741401629
138.0818012523817,2,1,1,2,0,1973,0,0,1,1,234000,13,2,3,1694.647649999162,0.014484167948710788
161.09512521876118,3,1,1,4,1,1982,1,1,1,0,557000,3,0,3,3457.5844504519596,0.018622537435109297
49.07017684922209,3,2,1,1,0,1987,0,0,0,1,103000,0,6,6,2099.0346196731275,0.06113693067009109
164.63147357530812,3,1,1,2,0,2021,0,1,0,0,735000,3,2,0,4464.516923999867,0.018222518057142315
81.29785346267481,2,1,1,0,0,1960,0,1,1,0,361000,6,4,7,4440.461643501339,0.024600895531863374
69.0463607315965,3,1,1,2,0,2003,1,1,0,0,551000,4,6,4,7980.145429270327,0.04344906767297819
130.74694150473775,1,1,1,3,0,2017,1,1,1,1,373000,13,6,1,2852.839199963113,0.007648362466389043
67.26977652665812,2,1,1,2,0,1960,1,1,1,0,322000,1,3,6,4786.696442679509,0.029731033805462794
136.90113294375706,6,5,2,2,0,2014,0,1,1,0,237000,5,0,4,1731.176323408269,0.04382724869388023
86.58766504337939,3,2,1,0,0,1975,0,1,1,0,190000,2,7,0,2194.307929481783,0.0346469673076071
121.40497316741008,1,1,1,3,1,2018,1,1,1,0,470000,7,1,2,3871.3405862863506,0.008236894864439044
101.72303515837288,4,2,1,1,0,1998,1,0,1,0,300000,10,5,1,2949.1845139395336,0.03932246018586045
144.09895695014472,4,2,1,5,1,1990,0,1,0,1,520000,8,6,3,3608.631255949405,0.027758701968841577
157.0620317522609,1,1,1,0,0,1968,0,0,0,0,644000,11,1,3,4100.290775658641,0.006366911142327083
184.9698407132244,2,1,1,5,0,1995,0,1,1,0,1072000,14,2,7,5795.539401809938,0.010812573510839437
209.42969286627311,4,2,1,4,1,1994,0,0,1,1,530000,0,2,3,2530.6822196335847,0.019099488450064792
156.72505324400228,2,1,1,2,0,1979,1,1,1,0,799000,14,2,1,5098.100038645716,0.012761201598612557
214.8396491326974,3,1,1,5,0,1997,1,1,0,0,209000,8,0,6,972.8185688429863,0.013963902902052435
163.93367740954477,3,2,1,0,0,1989,0,0,0,0,342000,13,2,7,2086.2095293915954,0.018300083591154346
256.00845832948096,4,2,1,4,0,1989,1,1,1,0,761000,8,1,0,2972.5580356434893,0.015624483761595214
150.34878547843124,2,1,1,0,0,2019,0,1,1,1,588000,7,3,3,3910.9062180243113,0.013302402102123507
96.23713257997622,2,1,1,1,0,2013,1,1,0,0,168000,7,4,0,1745.6879220750523,0.02078199907232205
151.75562754509895,1,1,1,1,0,1961,1,0,0,1,475000,7,7,2,3130.0321950751963,0.006589541463316203
173.30992720488692,2,1,1,0,0,2009,0,1,0,0,298000,9,6,0,1719.4629575240922,0.011540019849154981
83.35244324781384,3,1,1,3,1,1974,1,1,0,0,194000,2,7,3,2327.4662678239874,0.03599174640964929
220.0174044553052,1,1,1,3,1,2008,0,0,1,0,262000,13,5,0,1190.81488416169,0.004545094977716374
20.423110673429303,4,2,1,3,0,1964,1,1,0,0,437000,11,6,7,21397.328104799526,0.19585655015834808
141.90112987108375,5,3,1,3,0,1978,1,0,1,0,320000,9,5,1,2255.091275810967,0.03523580118454636
77.12255571694496,4,3,1,1,0,1960,1,1,0,1,379000,9,1,4,4914.2562312250775,0.051865501121109
161.58542884879236,3,1,1,4,1,2023,0,1,0,0,641000,3,0,0,3966.941849687647,0.018566030497758096
53.65841169320515,6,4,2,4,1,2016,1,1,0,0,618000,10,3,5,11517.299534198815,0.11181844207960015
213.6002840236152,3,1,1,1,0,1982,1,0,0,1,901000,12,7,2,4218.1591851272415,0.014044925144707796
197.1533825929542,5,3,1,1,0,1978,1,1,0,0,976000,11,0,7,4950.46033278092,0.025360964819574384
124.20817605039603,4,3,1,3,1,1983,1,1,0,0,471000,13,7,5,3792.020903751917,0.03220399918260652
199.3008408072676,1,1,1,2,0,1971,1,0,1,0,1363000,3,6,5,6838.907424972075,0.005017540297118177
173.03192894107053,2,1,1,0,0,1994,1,0,1,0,873000,1,2,4,5045.311610074679,0.011558560389632712
62.22420449552578,5,3,2,3,1,1966,1,1,1,0,232000,9,5,3,3728.4526476619226,0.08035458292374832
186.3235834159524,4,2,1,2,0,1983,0,0,0,0,955000,3,7,0,5125.491805661763,0.02146802850538958
118.9549203017926,3,2,1,5,0,1983,1,0,1,0,250000,10,0,4,2101.636480153504,0.02521963776184205
138.15348016686545,5,4,2,3,0,2021,0,1,0,1,524000,6,5,0,3792.883099051134,0.03619163262453372
93.84059532064452,4,2,1,4,0,1971,1,1,0,0,775000,6,7,4,8258.685884844375,0.04262547553468064
113.49284728161577,3,2,1,0,0,1971,1,0,0,0,1109000,11,7,5,9771.540908196444,0.02643338388150526
47.96736305965917,3,2,1,1,0,1968,0,1,1,0,328000,6,0,7,6837.982725713974,0.06254252493031073
124.13652179002396,3,2,1,1,0,1986,0,0,1,0,263000,7,4,5,2118.635162380839,0.024166941015751016
122.21752787495336,1,1,1,5,0,2024,0,0,0,0,874000,3,2,7,7151.183755690358,0.008182132443581645
109.32764241440763,3,2,1,5,1,1998,0,0,1,1,753000,11,5,2,6887.553626609318,0.027440452695654653
104.8837878961846,3,1,1,0,0,2020,1,1,1,0,1086000,3,2,3,10354.317114051388,0.0286030859504182
176.6671012534537,2,1,1,5,0,1992,1,0,0,0,275000,2,3,0,1556.599944465461,0.011320726868839717
187.94083166663643,3,2,1,4,1,2006,0,1,1,0,441000,13,1,2,2346.483178185739,0.015962470599902984
134.25876623248269,2,1,1,0,0,1974,1,0,1,0,361000,13,2,5,2688.83746015431,0.014896606427447702
180.02057742066992,6,4,2,4,0,1987,1,0,0,0,293000,1,4,6,1627.5917131146687,0.03332952313545397
90.03036772779889,1,1,1,3,0,2000,1,0,0,0,511000,3,5,2,5675.862632761605,0.011107363273506076
24.36467414678904,4,3,2,4,0,1988,0,1,1,0,144000,9,0,7,5910.196012983716,0.16417211147176988
211.57293829271768,5,3,1,2,0,2018,1,1,0,0,1782000,6,2,5,8422.627271615182,0.02363251198545225
85.2927023246253,3,2,1,5,1,1964,0,0,1,0,424000,14,2,0,4971.116970667076,0.03517299743396516
160.37778158027146,4,3,1,2,0,1960,0,0,0,0,389000,4,4,1,2425.5230130197288,0.024941110673724717
76.39481172982204,2,1,1,3,0,1993,0,0,1,0,165000,8,0,7,2159.8325365803526,0.02617978832218609
106.58684690252436,2,1,1,4,0,1982,1,1,0,0,676000,1,1,3,6342.245967912106,0.018764041325183743
194.45225869422396,4,2,1,1,0,1997,0,1,0,0,781000,11,5,5,4016.4100188114653,0.020570601888919158
192.21693959909052,4,2,1,1,0,1989,1,0,0,0,226000,4,0,6,1175.7548552763938,0.0208098204473698
34.83087803224227,3,2,1,1,0,2012,0,0,1,0,693000,3,1,4,19896.139263515073,0.08613047300222976
47.94021197520007,3,1,1,0,0,2015,1,1,1,1,602000,8,1,7,12557.30784651975,0.06257794607900208
116.8660451363414,4,2,1,2,0,2010,1,0,1,0,348000,8,4,1,2977.7682610377283,0.03422722139123826
172.26563965038054,3,1,1,1,0,1971,0,0,1,0,1121000,6,6,7,6507.3917368263965,0.0174149645053338
59.075517935670725,1,1,1,5,1,2015,1,0,0,0,165000,9,4,3,2793.035182182811,0.016927485952623098
67.02104268916756,3,1,1,5,1,2015,1,0,1,0,408000,7,1,4,6087.640293694565,0.044762060983048274
158.43637460736645,2,1,1,5,0,1985,0,1,0,0,187000,5,0,1,1180.2845177656918,0.012623363826371034
143.55184157090105,2,1,1,1,0,1987,0,0,0,0,264000,10,0,7,1839.0568669201568,0.01393224899181937
179.47998906423743,3,2,1,0,0,1984,0,0,0,0,623000,6,5,4,3471.139057051218,0.01671495533090474
20.0,5,3,2,0,0,1993,1,1,0,1,622000,1,2,5,31100.0,0.25
20.0,5,4,2,1,0,2023,1,0,0,0,341000,4,4,4,17050.0,0.25
38.10029821433055,4,2,1,5,0,2021,0,0,0,0,270000,3,4,3,7086.55870568608,0.10498605489905305
159.87421022391572,3,2,1,0,0,2021,0,0,1,0,635000,8,2,1,3971.8726310555985,0.018764752587664243
209.15564176875284,5,3,1,0,0,1979,1,1,0,0,486000,3,4,6,2323.6284514731497,0.023905642504867795
212.34901657238012,3,1,1,3,0,1970,0,0,0,0,992000,11,7,1,4671.554481449046,0.014127684923737033
35.75639305161303,2,1,1,4,0,1961,0,1,1,0,251000,9,7,3,7019.723707525275,0.05593405344641653
90.8709542182533,3,1,1,2,0,1997,1,1,1,0,323000,6,5,6,3554.491121818976,0.033013849428659224
109.84773069785037,4,2,1,3,1,1981,0,1,0,0,486000,10,1,7,4424.306236573994,0.03641404309937444
114.00745403172006,3,1,1,2,0,1989,1,1,0,0,422000,9,3,1,3701.5123579778196,0.026314068895576918
